epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,731.987,1.68796,1.31814,0.93342,0.68034,0.48086,0.53909,0.284,1.67834,1.48148,0.95602,0.000266535,0.000266535,0.000266535
68,742.459,1.89171,1.3678,0.96685,0.67499,0.50247,0.54254,0.28195,1.70833,1.48699,0.95974,0.000258922,0.000258922,0.000258922
69,752.844,1.61774,1.31985,0.94179,0.69212,0.51127,0.54757,0.286,1.69868,1.46149,0.95681,0.000251309,0.000251309,0.000251309
70,763.394,1.62242,1.27152,0.92845,0.70165,0.52762,0.55285,0.29271,1.66616,1.42041,0.95208,0.000243696,0.000243696,0.000243696
71,773.925,1.63049,1.41056,0.93847,0.70599,0.52114,0.56486,0.30151,1.64676,1.38847,0.94878,0.000236083,0.000236083,0.000236083
72,784.53,1.59613,1.28974,0.91705,0.68839,0.50382,0.5624,0.29766,1.65791,1.37311,0.94988,0.00022847,0.00022847,0.00022847
73,794.719,1.5645,1.27218,0.91568,0.6851,0.4985,0.56411,0.29443,1.67583,1.37249,0.95177,0.000220857,0.000220857,0.000220857
74,805.186,1.57742,1.27633,0.92737,0.64992,0.51329,0.55808,0.28908,1.68811,1.37533,0.9532,0.000213244,0.000213244,0.000213244
75,815.504,1.56253,1.26252,0.92285,0.64856,0.49928,0.56206,0.28698,1.69704,1.3772,0.95554,0.000205631,0.000205631,0.000205631
76,826.144,1.59644,1.31183,0.92387,0.62332,0.50801,0.55428,0.28344,1.69632,1.36682,0.95613,0.000198018,0.000198018,0.000198018
77,836.422,1.65565,1.35003,0.94471,0.60158,0.52887,0.55626,0.28738,1.67536,1.35588,0.95488,0.000190404,0.000190404,0.000190404
78,847.099,1.60671,1.26228,0.91901,0.68209,0.47918,0.56145,0.29055,1.65775,1.35079,0.95326,0.000182791,0.000182791,0.000182791
